iter	Passed	Remaining
0	138	138150
1	140	69990
2	142	47238
3	144	35862
4	145	28945
5	146	24322
6	148	21075
7	153	19028
8	155	17075
9	159	15813
10	163	14705
11	166	13696
12	167	12739
13	169	11924
14	171	11258
15	175	10775
16	176	10233
17	179	9777
18	181	9360
19	182	8938
20	183	8552
21	184	8203
22	185	7882
23	186	7599
24	189	7374
25	190	7146
26	192	6930
27	194	6736
28	195	6547
29	197	6378
30	198	6217
31	201	6087
32	203	5950
33	204	5822
34	206	5697
35	208	5570
36	209	5446
37	210	5329
38	212	5225
39	213	5125
40	214	5022
41	215	4920
42	216	4825
43	218	4750
44	220	4678
45	221	4597
46	223	4522
47	224	4444
48	226	4398
49	228	4343
50	230	4283
51	232	4232
52	237	4235
53	238	4185
54	240	4136
55	243	4101
56	245	4053
57	246	4003
58	248	3959
59	249	3914
60	251	3874
61	253	3832
62	254	3788
63	255	3742
64	257	3702
65	258	3662
66	260	3622
67	260	3573
68	261	3533
69	263	3502
70	264	3466
71	266	3433
72	267	3402
73	270	3381
74	271	3351
75	273	3323
76	277	3325
77	283	3345
78	285	3326
79	287	3309
80	290	3291
81	292	3277
82	294	3253
83	295	3223
84	296	3189
85	297	3159
86	297	3126
87	299	3100
88	300	3075
89	301	3048
90	302	3025
91	307	3034
92	309	3013
93	310	2989
94	311	2966
95	312	2945
96	314	2928
97	315	2905
98	316	2884
99	318	2869
100	320	2855
101	322	2839
102	324	2828
103	326	2813
104	328	2797
105	329	2781
106	332	2775
107	336	2779
108	340	2781
109	341	2762
110	342	2746
111	345	2735
112	347	2726
113	348	2709
114	349	2691
115	350	2674
116	353	2667
117	355	2658
118	356	2641
119	357	2624
120	358	2607
121	360	2593
122	360	2573
123	362	2557
124	363	2541
125	364	2525
126	365	2513
127	366	2495
128	367	2479
129	368	2464
130	369	2448
131	369	2432
132	370	2416
133	371	2400
134	372	2384
135	372	2369
136	375	2362
137	375	2348
138	377	2335
139	377	2321
140	378	2308
141	380	2301
142	382	2293
143	383	2281
144	384	2269
145	386	2259
146	387	2249
147	389	2239
148	390	2228
149	391	2219
150	392	2207
151	393	2195
152	395	2188
153	396	2177
154	397	2166
155	398	2154
156	399	2145
157	401	2137
158	402	2129
159	403	2119
160	404	2109
161	405	2099
162	406	2089
163	407	2079
164	409	2074
165	411	2066
166	413	2061
167	414	2053
168	415	2044
169	416	2034
170	417	2025
171	418	2016
172	419	2006
173	420	1995
174	421	1985
175	422	1977
176	425	1977
177	426	1969
178	427	1959
179	428	1950
180	428	1938
181	429	1929
182	430	1920
183	431	1913
184	432	1905
185	433	1896
186	434	1887
187	434	1878
188	436	1871
189	438	1868
190	439	1860
191	440	1852
192	441	1847
193	443	1842
194	444	1835
195	445	1829
196	447	1823
197	448	1815
198	449	1808
199	450	1800
200	451	1793
201	452	1787
202	453	1780
203	454	1774
204	455	1767
205	456	1759
206	457	1751
207	457	1743
208	458	1736
209	459	1729
210	460	1721
211	461	1715
212	462	1710
213	463	1703
214	464	1695
215	465	1688
216	467	1686
217	468	1681
218	469	1674
219	470	1667
220	471	1660
221	472	1654
222	473	1648
223	474	1643
224	475	1637
225	476	1630
226	476	1624
227	477	1617
228	478	1611
229	479	1605
230	480	1599
231	481	1595
232	483	1591
233	484	1585
234	485	1579
235	486	1574
236	487	1568
237	487	1562
238	488	1556
239	489	1549
240	490	1544
241	491	1538
242	491	1532
243	492	1526
244	493	1520
245	494	1514
246	494	1509
247	496	1505
248	498	1502
249	499	1497
250	500	1492
251	500	1486
252	501	1481
253	502	1476
254	503	1470
255	504	1465
256	505	1460
257	505	1454
258	506	1449
259	507	1443
260	508	1438
261	509	1434
262	510	1431
263	512	1428
264	513	1423
265	513	1418
266	514	1413
267	515	1408
268	516	1404
269	517	1399
270	518	1394
271	519	1389
272	520	1385
273	521	1381
274	522	1376
275	523	1371
276	523	1367
277	525	1364
278	527	1363
279	528	1358
280	529	1354
281	530	1349
282	530	1344
283	531	1340
284	532	1335
285	533	1331
286	534	1327
287	535	1323
288	536	1319
289	537	1315
290	537	1310
291	538	1306
292	540	1303
293	541	1299
294	541	1295
295	542	1290
296	543	1286
297	544	1282
298	545	1277
299	545	1273
300	546	1269
301	547	1265
302	548	1261
303	549	1256
304	549	1252
305	550	1248
306	551	1244
307	552	1241
308	553	1237
309	554	1233
310	554	1229
311	555	1225
312	556	1221
313	557	1217
314	558	1213
315	558	1209
316	559	1205
317	560	1201
318	561	1197
319	561	1193
320	562	1190
321	564	1188
322	565	1185
323	566	1181
324	567	1177
325	567	1173
326	568	1170
327	569	1166
328	570	1163
329	571	1159
330	571	1155
331	572	1151
332	573	1148
333	574	1144
334	574	1140
335	575	1137
336	576	1134
337	578	1133
338	579	1130
339	580	1126
340	581	1123
341	582	1120
342	582	1116
343	583	1113
344	584	1109
345	585	1106
346	585	1102
347	586	1099
348	589	1098
349	590	1096
350	591	1093
351	593	1092
352	594	1090
353	596	1088
354	597	1086
355	598	1083
356	600	1081
357	601	1079
358	603	1076
359	604	1074
360	605	1071
361	606	1069
362	608	1067
363	609	1065
364	610	1062
365	611	1059
366	613	1057
367	614	1054
368	615	1052
369	616	1049
370	617	1047
371	618	1044
372	619	1042
373	620	1039
374	622	1037
375	623	1034
376	624	1032
377	626	1030
378	627	1028
379	628	1025
380	629	1022
381	630	1020
382	632	1018
383	633	1017
384	635	1014
385	640	1018
386	642	1017
387	645	1018
388	648	1018
389	650	1018
390	653	1018
391	655	1016
392	657	1015
393	659	1014
394	660	1012
395	662	1010
396	663	1008
397	664	1005
398	665	1002
399	667	1001
400	668	998
401	669	995
402	670	993
403	671	990
404	672	987
405	673	984
406	674	982
407	675	979
408	676	977
409	677	974
410	678	972
411	679	969
412	680	966
413	681	964
414	682	961
415	683	959
416	684	956
417	684	953
418	685	950
419	686	948
420	687	945
421	688	943
422	689	940
423	690	937
424	690	934
425	691	931
426	692	929
427	693	926
428	694	924
429	696	923
430	698	921
431	699	919
432	700	917
433	702	915
434	703	913
435	703	910
436	704	908
437	706	906
438	708	905
439	710	904
440	712	902
441	713	900
442	714	898
443	715	895
444	716	893
445	718	891
446	720	891
447	722	889
448	723	887
449	724	885
450	726	883
451	727	881
452	728	879
453	728	876
454	729	873
455	730	871
456	731	868
457	732	866
458	733	864
459	733	861
460	734	858
461	735	856
462	736	853
463	737	851
464	737	849
465	738	846
466	740	844
467	740	842
468	741	839
469	742	837
470	743	835
471	744	832
472	745	830
473	746	827
474	746	825
475	747	823
476	748	820
477	749	818
478	750	816
479	751	813
480	751	811
481	752	808
482	753	806
483	754	804
484	755	802
485	756	799
486	756	797
487	757	794
488	758	792
489	759	790
490	759	787
491	760	785
492	761	783
493	762	780
494	763	778
495	763	776
496	764	773
497	765	771
498	766	769
499	768	768
500	768	765
501	769	763
502	770	761
503	771	758
504	771	756
505	772	754
506	773	752
507	774	750
508	775	747
509	776	745
510	776	743
511	777	741
512	778	739
513	779	736
514	780	734
515	781	733
516	783	732
517	784	730
518	785	727
519	786	725
520	786	723
521	787	721
522	788	719
523	789	716
524	790	714
525	790	712
526	791	710
527	792	708
528	793	706
529	794	704
530	795	702
531	796	700
532	797	699
533	798	697
534	799	695
535	800	693
536	801	691
537	802	689
538	803	687
539	804	685
540	806	683
541	807	682
542	808	680
543	809	678
544	810	676
545	811	674
546	812	673
547	813	671
548	814	669
549	815	666
550	816	665
551	817	663
552	817	661
553	818	659
554	819	657
555	820	654
556	821	653
557	822	651
558	822	649
559	823	647
560	824	645
561	825	643
562	826	641
563	827	639
564	828	637
565	829	635
566	829	633
567	830	631
568	831	629
569	832	627
570	832	625
571	833	623
572	835	622
573	836	620
574	837	619
575	838	617
576	839	615
577	841	614
578	842	612
579	843	610
580	844	608
581	845	607
582	846	605
583	847	603
584	848	602
585	849	600
586	850	598
587	851	596
588	853	595
589	854	593
590	855	592
591	856	590
592	857	588
593	857	586
594	858	584
595	859	582
596	860	580
597	861	578
598	862	577
599	863	575
600	863	573
601	864	571
602	865	569
603	866	568
604	867	566
605	867	564
606	868	562
607	869	560
608	870	558
609	871	557
610	872	555
611	872	553
612	873	551
613	874	549
614	875	547
615	876	546
616	877	545
617	879	543
618	880	541
619	881	540
620	882	538
621	883	536
622	884	535
623	886	533
624	887	532
625	889	531
626	890	529
627	891	528
628	892	526
629	893	524
630	894	522
631	895	521
632	895	519
633	896	517
634	897	515
635	898	514
636	899	512
637	900	510
638	901	509
639	902	507
640	903	505
641	904	504
642	905	502
643	905	500
644	906	499
645	907	497
646	908	495
647	909	494
648	910	492
649	911	490
650	911	488
651	912	487
652	914	485
653	914	484
654	915	482
655	916	480
656	917	478
657	917	477
658	918	475
659	919	473
660	920	471
661	921	470
662	921	468
663	922	466
664	923	465
665	924	463
666	926	462
667	927	460
668	928	459
669	929	457
670	930	456
671	931	454
672	932	453
673	933	451
674	934	450
675	935	448
676	938	447
677	939	446
678	940	444
679	941	442
680	942	441
681	943	439
682	945	438
683	946	437
684	947	435
685	948	434
686	949	432
687	950	431
688	952	429
689	953	428
690	954	426
691	955	425
692	956	423
693	957	422
694	958	420
695	959	419
696	960	417
697	962	416
698	963	415
699	965	413
700	966	412
701	967	410
702	968	409
703	969	407
704	972	407
705	973	405
706	976	404
707	977	403
708	979	401
709	982	401
710	986	400
711	990	400
712	992	399
713	993	397
714	995	396
715	996	395
716	998	393
717	999	392
718	1000	390
719	1003	390
720	1005	388
721	1007	387
722	1009	386
723	1010	385
724	1013	384
725	1015	383
726	1016	381
727	1017	380
728	1019	378
729	1020	377
730	1021	375
731	1022	374
732	1023	372
733	1024	371
734	1025	369
735	1026	368
736	1027	366
737	1028	365
738	1030	363
739	1031	362
740	1032	360
741	1033	359
742	1034	357
743	1035	356
744	1036	354
745	1037	353
746	1038	351
747	1039	350
748	1040	348
749	1041	347
750	1043	345
751	1044	344
752	1045	342
753	1046	341
754	1047	339
755	1048	338
756	1049	336
757	1050	335
758	1051	333
759	1052	332
760	1053	330
761	1054	329
762	1055	327
763	1056	326
764	1058	325
765	1059	323
766	1060	322
767	1061	320
768	1062	319
769	1063	317
770	1063	315
771	1064	314
772	1065	312
773	1066	311
774	1066	309
775	1067	308
776	1068	306
777	1069	305
778	1071	303
779	1072	302
780	1073	300
781	1074	299
782	1074	297
783	1075	296
784	1076	294
785	1077	293
786	1078	291
787	1078	290
788	1079	288
789	1080	287
790	1081	285
791	1082	284
792	1083	282
793	1084	281
794	1085	279
795	1086	278
796	1087	276
797	1088	275
798	1088	273
799	1089	272
800	1090	270
801	1091	269
802	1092	268
803	1093	266
804	1094	265
805	1094	263
806	1095	262
807	1096	260
808	1097	259
809	1098	257
810	1099	256
811	1100	254
812	1100	253
813	1101	251
814	1102	250
815	1103	248
816	1104	247
817	1104	245
818	1105	244
819	1106	242
820	1107	241
821	1108	239
822	1108	238
823	1109	237
824	1110	235
825	1111	234
826	1112	232
827	1113	231
828	1114	229
829	1115	228
830	1116	227
831	1117	225
832	1118	224
833	1118	222
834	1119	221
835	1120	219
836	1121	218
837	1122	216
838	1122	215
839	1123	214
840	1125	212
841	1128	211
842	1130	210
843	1132	209
844	1133	207
845	1134	206
846	1135	205
847	1135	203
848	1136	202
849	1137	200
850	1138	199
851	1139	198
852	1141	196
853	1142	195
854	1142	193
855	1143	192
856	1144	190
857	1145	189
858	1146	188
859	1146	186
860	1147	185
861	1148	183
862	1149	182
863	1150	181
864	1150	179
865	1151	178
866	1152	176
867	1153	175
868	1154	174
869	1155	172
870	1156	171
871	1157	169
872	1157	168
873	1158	167
874	1159	165
875	1160	164
876	1161	162
877	1162	161
878	1162	160
879	1163	158
880	1164	157
881	1165	155
882	1166	154
883	1167	153
884	1168	151
885	1169	150
886	1170	149
887	1171	147
888	1172	146
889	1173	144
890	1173	143
891	1175	142
892	1176	141
893	1177	139
894	1178	138
895	1179	136
896	1180	135
897	1181	134
898	1182	132
899	1182	131
900	1183	130
901	1184	128
902	1185	127
903	1186	125
904	1187	124
905	1187	123
906	1188	121
907	1190	120
908	1191	119
909	1192	117
910	1192	116
911	1193	115
912	1195	113
913	1195	112
914	1196	111
915	1197	109
916	1198	108
917	1199	107
918	1200	105
919	1201	104
920	1201	103
921	1202	101
922	1203	100
923	1204	99
924	1205	97
925	1205	96
926	1206	95
927	1207	93
928	1209	92
929	1210	91
930	1212	89
931	1213	88
932	1214	87
933	1215	85
934	1216	84
935	1217	83
936	1217	81
937	1218	80
938	1219	79
939	1220	77
940	1221	76
941	1222	75
942	1223	73
943	1224	72
944	1224	71
945	1225	69
946	1226	68
947	1227	67
948	1228	66
949	1229	64
950	1229	63
951	1230	62
952	1231	60
953	1232	59
954	1233	58
955	1234	56
956	1235	55
957	1236	54
958	1237	52
959	1237	51
960	1238	50
961	1239	48
962	1240	47
963	1241	46
964	1241	45
965	1242	43
966	1243	42
967	1244	41
968	1245	39
969	1246	38
970	1247	37
971	1247	35
972	1249	34
973	1249	33
974	1250	32
975	1251	30
976	1252	29
977	1253	28
978	1253	26
979	1254	25
980	1255	24
981	1256	23
982	1256	21
983	1257	20
984	1258	19
985	1259	17
986	1260	16
987	1261	15
988	1262	14
989	1263	12
990	1264	11
991	1265	10
992	1266	8
993	1267	7
994	1268	6
995	1269	5
